1420038444.320639,356,506,512,440,420,903
1420038445.341343,353,517,512,439,420,2711
1420038446.352859,361,506,513,441,423,2718
1420038447.370034,354,508,513,438,420,2712
1420038448.381321,356,510,514,441,420,2704
1420038449.393894,355,521,528,441,420,2718
1420038450.407358,358,520,511,438,420,2708
1420038451.413516,356,506,510,439,420,2708
1420038452.425082,357,507,508,441,425,2713
1420038453.436028,354,513,513,439,423,2713
1420038454.448756,359,515,515,445,419,2708
1420038455.459911,358,510,526,450,420,2708
1420038456.473095,361,507,522,443,422,2710
1420038457.486451,364,510,511,446,420,2710
1420038458.497512,362,516,514,442,423,2709
1420038459.511074,362,517,523,449,420,2713
1420038460.531379,359,512,514,443,420,2709
1420038461.543683,358,513,510,444,420,2710
1420038462.555221,358,512,515,441,423,2712
1420038463.566892,362,507,512,445,420,2710
