1420042478.970407,382,567,525,505,450,508
1420042479.987348,381,551,541,530,424,2710
1420042480.99855,398,546,535,510,451,2714
1420042482.00968,390,548,544,503,451,2709
1420042483.020819,371,546,542,503,451,2712
1420042484.03374,381,529,557,505,451,2710
1420042485.044894,380,548,544,506,455,2712
1420042486.056778,379,548,542,499,455,2710
1420042487.068672,382,536,540,507,453,2709
1420042488.081052,382,536,543,504,452,2719
1420042489.097542,382,545,524,509,450,2715
1420042490.108817,385,563,544,489,449,2706
1420042491.119915,384,532,540,503,451,2719
1420042492.131488,384,547,544,508,453,2710
1420042493.143363,399,548,530,512,453,2710
1420042494.170719,378,551,543,502,448,2710
1420042495.193214,376,549,543,509,450,2711
1420042496.208965,378,550,545,507,449,2711
1420042497.220225,385,545,544,507,450,2718
1420042498.231707,398,545,514,509,454,2705
1420042499.246251,369,544,543,531,451,2721
1420042500.257845,386,560,524,510,450,2715
1420042501.269508,381,545,541,505,449,2715
1420042502.292027,388,527,539,512,451,2705
1420042503.306165,375,545,541,514,449,2711
